linha,nome da linha
20,Sertão Expresso
22,Vila Carlina
23,Acibam
25,Guaraciaba
31,PQ. São Vicente
32,Vila João Ramalho
41,Vila Mercedes
43,Guapituba
44,JD. Anchieta
51,Capuava
61,Sônia Maria
71,Paranavaí
72,Nova Mauá
73,Oratório
74,Rosina
75,Cerqueira Leite
81,Égnes Rimazza
82,Zaíra 2
83,Zaíra 3
84,Zaíra
85,Zaíra 5
86,Zaíra 6
87,Boa Vista
91,PQ. Das Américas
92,Santa Rosa
101,Itapark
102,JD. Mauá
103,Bogus
104,Salgueiro
107,Campo Verde
108,Aracy
109,Miranda
111,Cruzeiro
112,Feital
113,Hélida
122,JD. Sílvia
123,Itapark Novo
125,Olinda
131,Itapeva
133,Esperança
134,Santista
136,Canadá
141,São Lúcido
142,Itaussu
143,Estrada Do Carneiro
144,JD. Elizabeth
145,Sampaio & Vital
132,Real via Itapark
088,ZAIRA SERTÃOZINHO
O30,Parque São Vicente / JD Araguaia
